group: thresh_pba_dzn_normalize
root: dow_jones
desc: thresh_dzn


debug: s
                           pba_oc_return_fth_of_xact  \
1998-01-05 17:00:00+00:00                   0.616810   
1998-01-05 18:00:00+00:00                   0.605448   
1998-01-05 19:00:00+00:00                   0.599581   
1998-01-05 20:00:00+00:00                   0.625482   
1998-01-05 21:00:00+00:00                   0.626166   
1998-01-06 14:00:00+00:00                   0.563441   
1998-01-06 15:00:00+00:00                   0.617539   
1998-01-06 16:00:00+00:00                   0.603973   
1998-01-06 17:00:00+00:00                   0.610604   

                           pba_lh_return_fth_of_xact  
id                                                    
1998-01-02 14:00:00+00:00                  -0.999992  
1998-01-02 15:00:00+00:00                  -0.999992  
1998-01-02 16:00:00+00:00                  -0.999999  
1998-01-02 17:00:00+00:00                  -0.999998  
1998-01-02 18:00:00+00:00                  -0.999999  
1998-01-02 19:00:00+00:00                  -0.999998  
1998-01-02 20:00:00+00:00                  -0.999991  
1998-01-02 21:00:00+00:00                  -0.999999  
1998-01-05 14:00:00+00:00                  -0.999997  
1998-01-05 15:00:00+00:00                  -0.999996  
1998-01-05 16:00:00+00:00                  -0.999997  
1998-01-05 17:00:00+00:00                  -0.999998  
1998-01-05 18:00:00+00:00                  -0.999995  
1998-01-05 19:00:00+00:00                  -0.999995  
1998-01-05 20:00:00+00:00                  -0.999997  
1998-01-05 21:00:00+00:00                  -0.999999  
1998-01-06 14:00:00+00:00                  -0.999988  
1998-01-06 15:00:00+00:00                  -0.999998  
1998-01-06 16:00:00+00:00                  -0.999994  
1998-01-06 17:00:00+00:00                  -0.999998  




group: thresh_vol_dzn_normalize
root: dow_jones
desc: thresh_dzn


debug: s
                           vol_oc_return_fth_of_xact  \
id                                                     
2005-03-18 14:00:00+00:00                  -0.485755   
2005-03-18 15:00:00+00:00                   1.256797   
2005-03-18 16:00:00+00:00                  -1.620136   
2005-03-18 17:00:00+00:00                   0.626374   
2005-03-18 18:00:00+00:00                   0.780631   
2005-03-18 19:00:00+00:00                   0.249850   
2005-03-18 20:00:00+00:00                  -1.168495   
2005-03-18 21:00:00+00:00                   0.360735   
2005-03-21 14:00:00+00:00                   0.433233   
2005-03-21 15:00:00+00:00                   1.271848   
2005-03-21 16:00:00+00:00                  -0.427916   
2005-03-21 17:00:00+00:00                  -1.811931   
2005-03-21 18:00:00+00:00                   1.130092   
2005-03-21 19:00:00+00:00                  -0.520134   
2005-03-21 20:00:00+00:00                  -0.335952   
2005-03-21 21:00:00+00:00                   0.260761   
2005-03-22 14:00:00+00:00                  -0.313632   
2005-03-22 15:00:00+00:00                  -1.182046   
2005-03-22 16:00:00+00:00                  -0.358704   
2005-03-22 17:00:00+00:00                  -0.136915   

                           vol_oa_return_fth_of_xact  \
id                                                     
2005-03-18 14:00:00+00:00                  -0.148479   
2005-03-18 15:00:00+00:00                   0.653098   
2005-03-18 16:00:00+00:00                  -1.869328   
2005-03-18 17:00:00+00:00                   0.529561   
2005-03-18 18:00:00+00:00                   1.496771   
2005-03-18 19:00:00+00:00                  -0.531927   
2005-03-18 20:00:00+00:00                  -0.414789   
2005-03-18 21:00:00+00:00                   0.285094   
2005-03-21 14:00:00+00:00                   1.017113   
2005-03-21 15:00:00+00:00                   0.823906   
2005-03-21 16:00:00+00:00                  -0.454605   
2005-03-21 17:00:00+00:00                  -1.775909   
2005-03-21 18:00:00+00:00                   1.035019   
